#    L    TT             EE             BB             TE             PP             TP             EP          
    87   0.231665E+04   0.511222E+00   0.000000E+00  -0.140977E+02   0.957411E-07   0.432677E-03  -0.306667E-06
    88   0.234554E+04   0.525248E+00   0.000000E+00  -0.146762E+02   0.950830E-07   0.426593E-03  -0.290886E-06
    89   0.237478E+04   0.539333E+00   0.000000E+00  -0.152625E+02   0.944285E-07   0.420612E-03  -0.283835E-06
    90   0.240421E+04   0.553444E+00   0.000000E+00  -0.158535E+02   0.937777E-07   0.414751E-03  -0.283200E-06
    91   0.243376E+04   0.567577E+00   0.000000E+00  -0.164500E+02   0.931307E-07   0.409024E-03  -0.287009E-06
    92   0.246357E+04   0.581718E+00   0.000000E+00  -0.170513E+02   0.924875E-07   0.403431E-03  -0.294631E-06
    93   0.249364E+04   0.595862E+00   0.000000E+00  -0.176575E+02   0.918482E-07   0.397966E-03  -0.305773E-06
    94   0.252375E+04   0.609973E+00   0.000000E+00  -0.182671E+02   0.912127E-07   0.392627E-03  -0.320140E-06
    95   0.255413E+04   0.624053E+00   0.000000E+00  -0.188812E+02   0.905812E-07   0.387409E-03  -0.337440E-06
    96   0.258449E+04   0.638088E+00   0.000000E+00  -0.194989E+02   0.899536E-07   0.382309E-03  -0.357379E-06
    97   0.261526E+04   0.652066E+00   0.000000E+00  -0.201196E+02   0.893300E-07   0.377321E-03  -0.379665E-06
    98   0.264623E+04   0.665980E+00   0.000000E+00  -0.207413E+02   0.887104E-07   0.372443E-03  -0.404005E-06
    99   0.267726E+04   0.679795E+00   0.000000E+00  -0.213670E+02   0.880948E-07   0.367670E-03  -0.430106E-06
   100   0.270856E+04   0.693512E+00   0.000000E+00  -0.219922E+02   0.874833E-07   0.362999E-03  -0.457676E-06
   101   0.273999E+04   0.707194E+00   0.000000E+00  -0.226202E+02   0.868760E-07   0.358425E-03  -0.486423E-06
   102   0.277193E+04   0.720692E+00   0.000000E+00  -0.232487E+02   0.862727E-07   0.353945E-03  -0.516056E-06
   103   0.280378E+04   0.734083E+00   0.000000E+00  -0.238786E+02   0.856737E-07   0.349554E-03  -0.546283E-06
   104   0.283583E+04   0.747368E+00   0.000000E+00  -0.245070E+02   0.850789E-07   0.345249E-03  -0.576812E-06
   105   0.286803E+04   0.760475E+00   0.000000E+00  -0.251356E+02   0.844884E-07   0.341025E-03  -0.607352E-06
