#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    60   0.161963E+04  -0.196532E+01   0.663849E-03  -0.196532E+01   0.184297E+00  -0.522614E-06   0.663849E-03  -0.522614E-06   0.114045E-06
    61   0.164283E+04  -0.226532E+01   0.652172E-03  -0.226532E+01   0.193633E+00  -0.464300E-06   0.652172E-03  -0.464300E-06   0.113373E-06
    62   0.166594E+04  -0.257889E+01   0.641118E-03  -0.257889E+01   0.203275E+00  -0.424754E-06   0.641118E-03  -0.424754E-06   0.112696E-06
    63   0.168915E+04  -0.290661E+01   0.630522E-03  -0.290661E+01   0.213188E+00  -0.398824E-06   0.630522E-03  -0.398824E-06   0.112015E-06
    64   0.171277E+04  -0.324924E+01   0.620216E-03  -0.324924E+01   0.223389E+00  -0.381361E-06   0.620216E-03  -0.381361E-06   0.111330E-06
    65   0.173639E+04  -0.360697E+01   0.610033E-03  -0.360697E+01   0.233856E+00  -0.367213E-06   0.610033E-03  -0.367213E-06   0.110643E-06
    66   0.176032E+04  -0.397761E+01   0.599843E-03  -0.397761E+01   0.244527E+00  -0.352623E-06   0.599843E-03  -0.352623E-06   0.109954E-06
    67   0.178437E+04  -0.435851E+01   0.589656E-03  -0.435851E+01   0.255402E+00  -0.339403E-06   0.589656E-03  -0.339403E-06   0.109265E-06
    68   0.180883E+04  -0.474821E+01   0.579516E-03  -0.474821E+01   0.266519E+00  -0.330761E-06   0.579516E-03  -0.330761E-06   0.108575E-06
    69   0.183347E+04  -0.514519E+01   0.569470E-03  -0.514519E+01   0.277836E+00  -0.329901E-06   0.569470E-03  -0.329901E-06   0.107884E-06
    70   0.185840E+04  -0.555131E+01   0.559562E-03  -0.555131E+01   0.289392E+00  -0.340031E-06   0.559562E-03  -0.340031E-06   0.107194E-06
    71   0.188349E+04  -0.596912E+01   0.549840E-03  -0.596912E+01   0.301175E+00  -0.363270E-06   0.549840E-03  -0.363270E-06   0.106503E-06
    72   0.190875E+04  -0.639984E+01   0.540354E-03  -0.639984E+01   0.313159E+00  -0.397384E-06   0.540354E-03  -0.397384E-06   0.105814E-06
    73   0.193418E+04  -0.684385E+01   0.531158E-03  -0.684385E+01   0.325312E+00  -0.439055E-06   0.531158E-03  -0.439055E-06   0.105124E-06
    74   0.195982E+04  -0.730006E+01   0.522306E-03  -0.730006E+01   0.337626E+00  -0.484963E-06   0.522306E-03  -0.484963E-06   0.104435E-06
    75   0.198580E+04  -0.776676E+01   0.513849E-03  -0.776676E+01   0.350114E+00  -0.531789E-06   0.513849E-03  -0.531789E-06   0.103747E-06
    76   0.201206E+04  -0.824320E+01   0.505823E-03  -0.824320E+01   0.362778E+00  -0.575998E-06   0.505823E-03  -0.575998E-06   0.103059E-06
    77   0.203866E+04  -0.872937E+01   0.498184E-03  -0.872937E+01   0.375612E+00  -0.613205E-06   0.498184E-03  -0.613205E-06   0.102372E-06
    78   0.206560E+04  -0.922693E+01   0.490873E-03  -0.922693E+01   0.388645E+00  -0.638807E-06   0.490873E-03  -0.638807E-06   0.101686E-06
    79   0.209268E+04  -0.973234E+01   0.483827E-03  -0.973234E+01   0.401823E+00  -0.648204E-06   0.483827E-03  -0.648204E-06   0.101002E-06
    80   0.212001E+04  -0.102473E+02   0.476987E-03  -0.102473E+02   0.415153E+00  -0.636793E-06   0.476987E-03  -0.636793E-06   0.100320E-06
