#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    77   0.199109E+04  -0.897078E+01   0.531198E-03  -0.897078E+01   0.402889E+00  -0.701366E-06   0.531198E-03  -0.701366E-06   0.109254E-06
    78   0.201716E+04  -0.948759E+01   0.523541E-03  -0.948759E+01   0.416641E+00  -0.643775E-06   0.523541E-03  -0.643775E-06   0.108560E-06
    79   0.204340E+04  -0.100125E+02   0.515956E-03  -0.100125E+02   0.430528E+00  -0.584080E-06   0.515956E-03  -0.584080E-06   0.107867E-06
    80   0.206992E+04  -0.105469E+02   0.508406E-03  -0.105469E+02   0.444553E+00  -0.534779E-06   0.508406E-03  -0.534779E-06   0.107176E-06
    81   0.209662E+04  -0.110912E+02   0.500873E-03  -0.110912E+02   0.458667E+00  -0.505965E-06   0.500873E-03  -0.505965E-06   0.106486E-06
    82   0.212358E+04  -0.116445E+02   0.493390E-03  -0.116445E+02   0.472890E+00  -0.498115E-06   0.493390E-03  -0.498115E-06   0.105798E-06
    83   0.215073E+04  -0.122062E+02   0.486003E-03  -0.122062E+02   0.487197E+00  -0.509297E-06   0.486003E-03  -0.509297E-06   0.105112E-06
    84   0.217817E+04  -0.127745E+02   0.478761E-03  -0.127745E+02   0.501586E+00  -0.537584E-06   0.478761E-03  -0.537584E-06   0.104429E-06
    85   0.220575E+04  -0.133504E+02   0.471709E-03  -0.133504E+02   0.516032E+00  -0.581045E-06   0.471709E-03  -0.581045E-06   0.103748E-06
    86   0.223356E+04  -0.139327E+02   0.464885E-03  -0.139327E+02   0.530546E+00  -0.637193E-06   0.464885E-03  -0.637193E-06   0.103070E-06
    87   0.226181E+04  -0.145207E+02   0.458281E-03  -0.145207E+02   0.545099E+00  -0.701294E-06   0.458281E-03  -0.701294E-06   0.102395E-06
    88   0.229007E+04  -0.151146E+02   0.451878E-03  -0.151146E+02   0.559706E+00  -0.768057E-06   0.451878E-03  -0.768057E-06   0.101723E-06
    89   0.231868E+04  -0.157160E+02   0.445657E-03  -0.157160E+02   0.574351E+00  -0.832190E-06   0.445657E-03  -0.832190E-06   0.101054E-06
    90   0.234750E+04  -0.163218E+02   0.439600E-03  -0.163218E+02   0.588999E+00  -0.888402E-06   0.439600E-03  -0.888402E-06   0.100389E-06
    91   0.237644E+04  -0.169331E+02   0.433690E-03  -0.169331E+02   0.603641E+00  -0.932444E-06   0.433690E-03  -0.932444E-06   0.997270E-07
    92   0.240566E+04  -0.175490E+02   0.427922E-03  -0.175490E+02   0.618263E+00  -0.964246E-06   0.427922E-03  -0.964246E-06   0.990687E-07
    93   0.243516E+04  -0.181696E+02   0.422290E-03  -0.181696E+02   0.632858E+00  -0.984782E-06   0.422290E-03  -0.984782E-06   0.984139E-07
    94   0.246471E+04  -0.187934E+02   0.416790E-03  -0.187934E+02   0.647391E+00  -0.995027E-06   0.416790E-03  -0.995027E-06   0.977627E-07
    95   0.249454E+04  -0.194213E+02   0.411418E-03  -0.194213E+02   0.661862E+00  -0.995954E-06   0.411418E-03  -0.995954E-06   0.971152E-07
    96   0.252435E+04  -0.200525E+02   0.406170E-03  -0.200525E+02   0.676257E+00  -0.988537E-06   0.406170E-03  -0.988537E-06   0.964714E-07
    97   0.255459E+04  -0.206862E+02   0.401041E-03  -0.206862E+02   0.690562E+00  -0.973750E-06   0.401041E-03  -0.973750E-06   0.958313E-07
    98   0.258504E+04  -0.213204E+02   0.396027E-03  -0.213204E+02   0.704769E+00  -0.952568E-06   0.396027E-03  -0.952568E-06   0.951950E-07
    99   0.261555E+04  -0.219580E+02   0.391124E-03  -0.219580E+02   0.718843E+00  -0.925963E-06   0.391124E-03  -0.925963E-06   0.945625E-07
   100   0.264635E+04  -0.225945E+02   0.386327E-03  -0.225945E+02   0.732785E+00  -0.894912E-06   0.386327E-03  -0.894912E-06   0.939339E-07
   101   0.267728E+04  -0.232330E+02   0.381632E-03  -0.232330E+02   0.746654E+00  -0.860386E-06   0.381632E-03  -0.860386E-06   0.933093E-07
   102   0.270872E+04  -0.238713E+02   0.377034E-03  -0.238713E+02   0.760303E+00  -0.823361E-06   0.377034E-03  -0.823361E-06   0.926886E-07
   103   0.274008E+04  -0.245101E+02   0.372530E-03  -0.245101E+02   0.773806E+00  -0.784811E-06   0.372530E-03  -0.784811E-06   0.920720E-07
   104   0.277166E+04  -0.251465E+02   0.368114E-03  -0.251465E+02   0.787165E+00  -0.745708E-06   0.368114E-03  -0.745708E-06   0.914594E-07
   105   0.280337E+04  -0.257820E+02   0.363783E-03  -0.257820E+02   0.800306E+00  -0.707028E-06   0.363783E-03  -0.707028E-06   0.908509E-07
   106   0.283531E+04  -0.264160E+02   0.359533E-03  -0.264160E+02   0.813304E+00  -0.669745E-06   0.359533E-03  -0.669745E-06   0.902466E-07
   107   0.286716E+04  -0.270468E+02   0.355358E-03  -0.270468E+02   0.826011E+00  -0.634832E-06   0.355358E-03  -0.634832E-06   0.896465E-07
   108   0.289939E+04  -0.276755E+02   0.351255E-03  -0.276755E+02   0.838502E+00  -0.603264E-06   0.351255E-03  -0.603264E-06   0.890507E-07
   109   0.293176E+04  -0.283003E+02   0.347219E-03  -0.283003E+02   0.850704E+00  -0.576014E-06   0.347219E-03  -0.576014E-06   0.884592E-07
   110   0.296421E+04  -0.289200E+02   0.343247E-03  -0.289200E+02   0.862617E+00  -0.554056E-06   0.343247E-03  -0.554056E-06   0.878720E-07
   111   0.299680E+04  -0.295361E+02   0.339333E-03  -0.295361E+02   0.874316E+00  -0.538126E-06   0.339333E-03  -0.538126E-06   0.872893E-07
   112   0.302954E+04  -0.301476E+02   0.335477E-03  -0.301476E+02   0.885728E+00  -0.528001E-06   0.335477E-03  -0.528001E-06   0.867109E-07
