#    L    TT             EE             TE             PP             TP          
    98   0.264578E+04   0.665979E+00  -0.207415E+02   0.405108E+07   0.627005E+04
    99   0.267677E+04   0.679794E+00  -0.213670E+02   0.402371E+07   0.619053E+04
   100   0.270803E+04   0.693512E+00  -0.219921E+02   0.399650E+07   0.611266E+04
   101   0.273943E+04   0.707193E+00  -0.226199E+02   0.396945E+07   0.603641E+04
   102   0.277133E+04   0.720692E+00  -0.232483E+02   0.394257E+07   0.596169E+04
   103   0.280315E+04   0.734082E+00  -0.238780E+02   0.391585E+07   0.588844E+04
   104   0.283518E+04   0.747367E+00  -0.245063E+02   0.388931E+07   0.581660E+04
   105   0.286735E+04   0.760474E+00  -0.251346E+02   0.386293E+07   0.574610E+04
   106   0.289974E+04   0.773478E+00  -0.257624E+02   0.383674E+07   0.567689E+04
   107   0.293205E+04   0.786233E+00  -0.263883E+02   0.381072E+07   0.560888E+04
   108   0.296473E+04   0.798815E+00  -0.270131E+02   0.378488E+07   0.554203E+04
   109   0.299756E+04   0.811150E+00  -0.276353E+02   0.375922E+07   0.547626E+04
   110   0.303047E+04   0.823241E+00  -0.282537E+02   0.373375E+07   0.541150E+04
   111   0.306354E+04   0.835163E+00  -0.288698E+02   0.370847E+07   0.534771E+04
   112   0.309676E+04   0.846843E+00  -0.294829E+02   0.368337E+07   0.528488E+04
   113   0.313020E+04   0.858280E+00  -0.300914E+02   0.365847E+07   0.522298E+04
   114   0.316373E+04   0.869401E+00  -0.306946E+02   0.363375E+07   0.516203E+04
   115   0.319747E+04   0.880354E+00  -0.312925E+02   0.360921E+07   0.510201E+04
   116   0.323122E+04   0.890916E+00  -0.318844E+02   0.358487E+07   0.504293E+04
   117   0.326526E+04   0.901163E+00  -0.324695E+02   0.356071E+07   0.498477E+04
   118   0.329945E+04   0.911243E+00  -0.330486E+02   0.353674E+07   0.492754E+04
   119   0.333364E+04   0.921007E+00  -0.336194E+02   0.351295E+07   0.487123E+04
   120   0.336797E+04   0.930307E+00  -0.341818E+02   0.348935E+07   0.481583E+04
   121   0.340230E+04   0.939441E+00  -0.347360E+02   0.346594E+07   0.476134E+04
   122   0.343669E+04   0.948112E+00  -0.352811E+02   0.344271E+07   0.470775E+04
   123   0.347114E+04   0.956393E+00  -0.358172E+02   0.341967E+07   0.465507E+04
   124   0.350567E+04   0.964361E+00  -0.363413E+02   0.339681E+07   0.460328E+04
   125   0.354018E+04   0.971939E+00  -0.368555E+02   0.337414E+07   0.455239E+04
   126   0.357475E+04   0.979204E+00  -0.373592E+02   0.335166E+07   0.450238E+04
   127   0.360931E+04   0.986007E+00  -0.378515E+02   0.332935E+07   0.445326E+04
   128   0.364386E+04   0.992496E+00  -0.383319E+02   0.330724E+07   0.440502E+04
   129   0.367846E+04   0.998523E+00  -0.387994E+02   0.328530E+07   0.435765E+04
   130   0.371305E+04   0.100409E+01  -0.392533E+02   0.326356E+07   0.431115E+04
   131   0.374762E+04   0.100934E+01  -0.396952E+02   0.324199E+07   0.426552E+04
   132   0.378225E+04   0.101413E+01  -0.401221E+02   0.322061E+07   0.422073E+04
   133   0.381678E+04   0.101853E+01  -0.405362E+02   0.319941E+07   0.417676E+04
   134   0.385131E+04   0.102254E+01  -0.409331E+02   0.317839E+07   0.413360E+04
   135   0.388582E+04   0.102608E+01  -0.413159E+02   0.315754E+07   0.409122E+04
   136   0.392016E+04   0.102915E+01  -0.416808E+02   0.313688E+07   0.404960E+04
   137   0.395450E+04   0.103182E+01  -0.420301E+02   0.311639E+07   0.400871E+04
   138   0.398876E+04   0.103402E+01  -0.423624E+02   0.309608E+07   0.396855E+04
   139   0.402278E+04   0.103590E+01  -0.426769E+02   0.307594E+07   0.392908E+04
   140   0.405687E+04   0.103723E+01  -0.429743E+02   0.305598E+07   0.389028E+04
   141   0.409074E+04   0.103808E+01  -0.432527E+02   0.303618E+07   0.385214E+04
   142   0.412459E+04   0.103853E+01  -0.435125E+02   0.301656E+07   0.381463E+04
   143   0.415838E+04   0.103858E+01  -0.437541E+02   0.299710E+07   0.377774E+04
   144   0.419193E+04   0.103814E+01  -0.439765E+02   0.297782E+07   0.374143E+04
   145   0.422534E+04   0.103737E+01  -0.441791E+02   0.295869E+07   0.370569E+04
   146   0.425882E+04   0.103604E+01  -0.443619E+02   0.293974E+07   0.367050E+04
   147   0.429194E+04   0.103437E+01  -0.445235E+02   0.292095E+07   0.363584E+04
   148   0.432491E+04   0.103222E+01  -0.446654E+02   0.290232E+07   0.360168E+04
   149   0.435781E+04   0.102966E+01  -0.447861E+02   0.288385E+07   0.356801E+04
   150   0.439042E+04   0.102675E+01  -0.448835E+02   0.286555E+07   0.353480E+04
   151   0.442288E+04   0.102342E+01  -0.449605E+02   0.284740E+07   0.350203E+04
   152   0.445506E+04   0.101960E+01  -0.450156E+02   0.282941E+07   0.346969E+04
   153   0.448710E+04   0.101543E+01  -0.450466E+02   0.281158E+07   0.343778E+04
   154   0.451893E+04   0.101091E+01  -0.450557E+02   0.279390E+07   0.340628E+04
   155   0.455055E+04   0.100603E+01  -0.450421E+02   0.277638E+07   0.337518E+04
   156   0.458180E+04   0.100079E+01  -0.450058E+02   0.275901E+07   0.334447E+04
   157   0.461300E+04   0.995189E+00  -0.449452E+02   0.274179E+07   0.331414E+04
   158   0.464392E+04   0.989291E+00  -0.448611E+02   0.272473E+07   0.328419E+04
   159   0.467455E+04   0.982949E+00  -0.447534E+02   0.270781E+07   0.325460E+04
   160   0.470498E+04   0.976306E+00  -0.446208E+02   0.269105E+07   0.322536E+04
   161   0.473521E+04   0.969433E+00  -0.444645E+02   0.267443E+07   0.319647E+04
   162   0.476516E+04   0.962178E+00  -0.442845E+02   0.265796E+07   0.316790E+04
   163   0.479498E+04   0.954613E+00  -0.440795E+02   0.264163E+07   0.313966E+04
   164   0.482438E+04   0.946807E+00  -0.438508E+02   0.262545E+07   0.311174E+04
   165   0.485365E+04   0.938683E+00  -0.435961E+02   0.260942E+07   0.308412E+04
   166   0.488265E+04   0.930385E+00  -0.433170E+02   0.259352E+07   0.305679E+04
   167   0.491145E+04   0.921688E+00  -0.430141E+02   0.257777E+07   0.302974E+04
   168   0.493983E+04   0.912960E+00  -0.426852E+02   0.256216E+07   0.300297E+04
   169   0.496794E+04   0.903899E+00  -0.423302E+02   0.254668E+07   0.297646E+04
