#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    75   0.193966E+04  -0.796885E+01   0.662510E-03  -0.796885E+01   0.375927E+00  -0.755851E-06   0.662510E-03  -0.755851E-06   0.110555E-06
    76   0.196513E+04  -0.846340E+01   0.654740E-03  -0.846340E+01   0.389326E+00  -0.739854E-06   0.654740E-03  -0.739854E-06   0.109860E-06
    77   0.199093E+04  -0.896843E+01   0.647076E-03  -0.896843E+01   0.402888E+00  -0.696746E-06   0.647076E-03  -0.696746E-06   0.109165E-06
    78   0.201708E+04  -0.948535E+01   0.639484E-03  -0.948535E+01   0.416641E+00  -0.639040E-06   0.639484E-03  -0.639040E-06   0.108470E-06
    79   0.204341E+04  -0.100104E+02   0.631928E-03  -0.100104E+02   0.430528E+00  -0.579250E-06   0.631928E-03  -0.579250E-06   0.107777E-06
    80   0.207001E+04  -0.105449E+02   0.624373E-03  -0.105449E+02   0.444553E+00  -0.529890E-06   0.624373E-03  -0.529890E-06   0.107084E-06
    81   0.209679E+04  -0.110894E+02   0.616799E-03  -0.110894E+02   0.458666E+00  -0.501063E-06   0.616799E-03  -0.501063E-06   0.106393E-06
    82   0.212383E+04  -0.116429E+02   0.609243E-03  -0.116429E+02   0.472889E+00  -0.493229E-06   0.609243E-03  -0.493229E-06   0.105704E-06
    83   0.215105E+04  -0.122049E+02   0.601754E-03  -0.122049E+02   0.487197E+00  -0.504438E-06   0.601754E-03  -0.504438E-06   0.105018E-06
    84   0.217855E+04  -0.127735E+02   0.594384E-03  -0.127735E+02   0.501586E+00  -0.532739E-06   0.594384E-03  -0.532739E-06   0.104333E-06
    85   0.220619E+04  -0.133498E+02   0.587183E-03  -0.133498E+02   0.516032E+00  -0.576181E-06   0.587183E-03  -0.576181E-06   0.103652E-06
    86   0.223406E+04  -0.139325E+02   0.580190E-03  -0.139325E+02   0.530546E+00  -0.632259E-06   0.580190E-03  -0.632259E-06   0.102973E-06
