#    L    TT             EE             TE             PP             TP          
   156   0.448845E+04   0.990117E+00  -0.440880E+02   0.300864E+07   0.500737E+04
   157   0.451872E+04   0.982966E+00  -0.439572E+02   0.299058E+07   0.496449E+04
   158   0.454869E+04   0.975538E+00  -0.438015E+02   0.297268E+07   0.492201E+04
   159   0.457835E+04   0.967684E+00  -0.436210E+02   0.295493E+07   0.487993E+04
   160   0.460778E+04   0.959552E+00  -0.434141E+02   0.293733E+07   0.483825E+04
   161   0.463697E+04   0.951216E+00  -0.431824E+02   0.291988E+07   0.479696E+04
   162   0.466585E+04   0.942527E+00  -0.429257E+02   0.290258E+07   0.475607E+04
   163   0.469457E+04   0.933560E+00  -0.426428E+02   0.288543E+07   0.471558E+04
   164   0.472283E+04   0.924388E+00  -0.423350E+02   0.286842E+07   0.467547E+04
   165   0.475093E+04   0.914937E+00  -0.420001E+02   0.285156E+07   0.463574E+04
   166   0.477873E+04   0.905355E+00  -0.416395E+02   0.283484E+07   0.459640E+04
   167   0.480628E+04   0.895418E+00  -0.412541E+02   0.281827E+07   0.455745E+04
   168   0.483338E+04   0.885498E+00  -0.408416E+02   0.280184E+07   0.451887E+04
   169   0.486016E+04   0.875298E+00  -0.404020E+02   0.278555E+07   0.448067E+04
   170   0.488663E+04   0.865040E+00  -0.399368E+02   0.276940E+07   0.444284E+04
   171   0.491264E+04   0.854723E+00  -0.394437E+02   0.275339E+07   0.440538E+04
   172   0.493826E+04   0.844273E+00  -0.389243E+02   0.273752E+07   0.436829E+04
   173   0.496343E+04   0.833690E+00  -0.383784E+02   0.272179E+07   0.433157E+04
   174   0.498827E+04   0.823271E+00  -0.378063E+02   0.270619E+07   0.429522E+04
   175   0.501273E+04   0.812717E+00  -0.372070E+02   0.269073E+07   0.425922E+04
   176   0.503666E+04   0.802252E+00  -0.365805E+02   0.267540E+07   0.422359E+04
   177   0.506019E+04   0.791801E+00  -0.359285E+02   0.266020E+07   0.418830E+04
   178   0.508327E+04   0.781585E+00  -0.352493E+02   0.264514E+07   0.415337E+04
   179   0.510588E+04   0.771307E+00  -0.345431E+02   0.263020E+07   0.411877E+04
   180   0.512818E+04   0.761189E+00  -0.338112E+02   0.261539E+07   0.408452E+04
   181   0.514995E+04   0.751230E+00  -0.330537E+02   0.260072E+07   0.405059E+04
   182   0.517127E+04   0.741503E+00  -0.322692E+02   0.258616E+07   0.401699E+04
   183   0.519205E+04   0.731933E+00  -0.314590E+02   0.257173E+07   0.398371E+04
   184   0.521246E+04   0.722594E+00  -0.306225E+02   0.255743E+07   0.395074E+04
   185   0.523241E+04   0.713633E+00  -0.297620E+02   0.254325E+07   0.391808E+04
   186   0.525153E+04   0.704910E+00  -0.288743E+02   0.252919E+07   0.388572E+04
   187   0.527050E+04   0.696563E+00  -0.279611E+02   0.251525E+07   0.385366E+04
   188   0.528895E+04   0.688577E+00  -0.270239E+02   0.250142E+07   0.382189E+04
   189   0.530679E+04   0.680989E+00  -0.260610E+02   0.248772E+07   0.379040E+04
   190   0.532449E+04   0.673850E+00  -0.250749E+02   0.247413E+07   0.375919E+04
   191   0.534129E+04   0.667181E+00  -0.240624E+02   0.246065E+07   0.372826E+04
   192   0.535771E+04   0.661004E+00  -0.230259E+02   0.244729E+07   0.369759E+04
   193   0.537355E+04   0.655362E+00  -0.219669E+02   0.243404E+07   0.366719E+04
   194   0.538901E+04   0.650285E+00  -0.208830E+02   0.242090E+07   0.363704E+04
   195   0.540388E+04   0.645809E+00  -0.197766E+02   0.240787E+07   0.360714E+04
   196   0.541816E+04   0.641970E+00  -0.186470E+02   0.239495E+07   0.357749E+04
   197   0.543199E+04   0.638812E+00  -0.174955E+02   0.238213E+07   0.354808E+04
   198   0.544531E+04   0.636356E+00  -0.163215E+02   0.236942E+07   0.351890E+04
   199   0.545812E+04   0.634639E+00  -0.151257E+02   0.235682E+07   0.348995E+04
   200   0.547041E+04   0.633689E+00  -0.139089E+02   0.234432E+07   0.346122E+04
   201   0.548212E+04   0.633566E+00  -0.126703E+02   0.233192E+07   0.343271E+04
   202   0.549331E+04   0.634276E+00  -0.114114E+02   0.231962E+07   0.340441E+04
   203   0.550391E+04   0.635876E+00  -0.101315E+02   0.230742E+07   0.337633E+04
   204   0.551386E+04   0.638390E+00  -0.883346E+01   0.229532E+07   0.334846E+04
   205   0.552329E+04   0.641860E+00  -0.751511E+01   0.228331E+07   0.332081E+04
   206   0.553206E+04   0.646323E+00  -0.617767E+01   0.227141E+07   0.329337E+04
   207   0.554032E+04   0.651800E+00  -0.482160E+01   0.225960E+07   0.326614E+04
   208   0.554784E+04   0.658342E+00  -0.344739E+01   0.224789E+07   0.323912E+04
   209   0.555477E+04   0.665971E+00  -0.205540E+01   0.223627E+07   0.321232E+04
   210   0.556112E+04   0.674737E+00  -0.646524E+00   0.222474E+07   0.318572E+04
   211   0.556688E+04   0.684670E+00   0.779199E+00   0.221331E+07   0.315934E+04
   212   0.557190E+04   0.695799E+00   0.222084E+01   0.220197E+07   0.313317E+04
   213   0.557641E+04   0.708166E+00   0.367846E+01   0.219073E+07   0.310720E+04
   214   0.558026E+04   0.721764E+00   0.515086E+01   0.217957E+07   0.308144E+04
   215   0.558352E+04   0.736785E+00   0.663731E+01   0.216850E+07   0.305589E+04
   216   0.558611E+04   0.753043E+00   0.813835E+01   0.215753E+07   0.303054E+04
   217   0.558820E+04   0.770692E+00   0.965197E+01   0.214664E+07   0.300541E+04
   218   0.558962E+04   0.789732E+00   0.111784E+02   0.213584E+07   0.298047E+04
   219   0.559045E+04   0.810161E+00   0.127187E+02   0.212512E+07   0.295574E+04
   220   0.559069E+04   0.832128E+00   0.142683E+02   0.211449E+07   0.293122E+04
   221   0.559035E+04   0.855557E+00   0.158294E+02   0.210394E+07   0.290690E+04
   222   0.558942E+04   0.880596E+00   0.174007E+02   0.209348E+07   0.288278E+04
   223   0.558775E+04   0.907170E+00   0.189829E+02   0.208311E+07   0.285886E+04
   224   0.558564E+04   0.935278E+00   0.205723E+02   0.207281E+07   0.283515E+04
   225   0.558287E+04   0.965067E+00   0.221718E+02   0.206259E+07   0.281163E+04
   226   0.557951E+04   0.996537E+00   0.237777E+02   0.205246E+07   0.278832E+04
   227   0.557548E+04   0.102969E+01   0.253916E+02   0.204241E+07   0.276521E+04
   228   0.557094E+04   0.106452E+01   0.270119E+02   0.203243E+07   0.274229E+04
   229   0.556581E+04   0.110110E+01   0.286373E+02   0.202253E+07   0.271957E+04
   230   0.556002E+04   0.113943E+01   0.302684E+02   0.201271E+07   0.269705E+04
   231   0.555357E+04   0.117959E+01   0.319045E+02   0.200297E+07   0.267473E+04
   232   0.554660E+04   0.122149E+01   0.335442E+02   0.199330E+07   0.265260E+04
   233   0.553904E+04   0.126537E+01   0.351859E+02   0.198371E+07   0.263067E+04
   234   0.553074E+04   0.131107E+01   0.368304E+02   0.197419E+07   0.260893E+04
   235   0.552193E+04   0.135867E+01   0.384763E+02   0.196474E+07   0.258739E+04
   236   0.551245E+04   0.140816E+01   0.401236E+02   0.195537E+07   0.256604E+04
   237   0.550239E+04   0.145962E+01   0.417707E+02   0.194606E+07   0.254489E+04
   238   0.549173E+04   0.151312E+01   0.434178E+02   0.193683E+07   0.252393E+04
   239   0.548056E+04   0.156851E+01   0.450640E+02   0.192767E+07   0.250315E+04
   240   0.546865E+04   0.162587E+01   0.467071E+02   0.191857E+07   0.248257E+04
   241   0.545630E+04   0.168534E+01   0.483479E+02   0.190954E+07   0.246218E+04
   242   0.544336E+04   0.174678E+01   0.499857E+02   0.190059E+07   0.244198E+04
   243   0.542983E+04   0.181032E+01   0.516190E+02   0.189169E+07   0.242197E+04
   244   0.541570E+04   0.187590E+01   0.532486E+02   0.188286E+07   0.240215E+04
   245   0.540099E+04   0.194360E+01   0.548714E+02   0.187410E+07   0.238251E+04
   246   0.538576E+04   0.201340E+01   0.564890E+02   0.186540E+07   0.236307E+04
   247   0.537002E+04   0.208523E+01   0.580992E+02   0.185676E+07   0.234380E+04
   248   0.535368E+04   0.215947E+01   0.597020E+02   0.184819E+07   0.232473E+04
   249   0.533691E+04   0.223559E+01   0.612966E+02   0.183967E+07   0.230584E+04
   250   0.531954E+04   0.231404E+01   0.628815E+02   0.183122E+07   0.228713E+04
   251   0.530173E+04   0.239452E+01   0.644576E+02   0.182283E+07   0.226861E+04
   252   0.528326E+04   0.247725E+01   0.660234E+02   0.181449E+07   0.225027E+04
   253   0.526449E+04   0.256202E+01   0.675773E+02   0.180622E+07   0.223211E+04
   254   0.524513E+04   0.264911E+01   0.691194E+02   0.179800E+07   0.221413E+04
   255   0.522525E+04   0.273823E+01   0.706498E+02   0.178984E+07   0.219632E+04
   256   0.520493E+04   0.282976E+01   0.721683E+02   0.178173E+07   0.217868E+04
   257   0.518417E+04   0.292325E+01   0.736669E+02   0.177369E+07   0.216122E+04
   258   0.516290E+04   0.301907E+01   0.751582E+02   0.176570E+07   0.214393E+04
   259   0.514118E+04   0.311707E+01   0.766274E+02   0.175776E+07   0.212680E+04
   260   0.511909E+04   0.321725E+01   0.780893E+02   0.174988E+07   0.210984E+04
   261   0.509649E+04   0.331955E+01   0.795217E+02   0.174206E+07   0.209304E+04
   262   0.507337E+04   0.342417E+01   0.809468E+02   0.173429E+07   0.207640E+04
   263   0.505010E+04   0.353091E+01   0.823573E+02   0.172657E+07   0.205992E+04
   264   0.502625E+04   0.363983E+01   0.837456E+02   0.171891E+07   0.204359E+04
   265   0.500188E+04   0.375087E+01   0.851045E+02   0.171130E+07   0.202742E+04
   266   0.497721E+04   0.386424E+01   0.864563E+02   0.170374E+07   0.201141E+04
   267   0.495203E+04   0.397957E+01   0.877785E+02   0.169623E+07   0.199554E+04
   268   0.492648E+04   0.409724E+01   0.890862E+02   0.168878E+07   0.197982E+04
