#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    64   0.171298E+04  -0.324950E+01   0.620052E-03  -0.324950E+01   0.223389E+00  -0.378661E-06   0.620052E-03  -0.378661E-06   0.111333E-06
    65   0.173662E+04  -0.360727E+01   0.609867E-03  -0.360727E+01   0.233856E+00  -0.364327E-06   0.609867E-03  -0.364327E-06   0.110646E-06
    66   0.176054E+04  -0.397794E+01   0.599675E-03  -0.397794E+01   0.244527E+00  -0.349532E-06   0.599675E-03  -0.349532E-06   0.109957E-06
    67   0.178460E+04  -0.435889E+01   0.589485E-03  -0.435889E+01   0.255402E+00  -0.336101E-06   0.589485E-03  -0.336101E-06   0.109267E-06
    68   0.180906E+04  -0.474863E+01   0.579343E-03  -0.474863E+01   0.266519E+00  -0.327253E-06   0.579343E-03  -0.327253E-06   0.108577E-06
    69   0.183370E+04  -0.514565E+01   0.569294E-03  -0.514565E+01   0.277836E+00  -0.326207E-06   0.569294E-03  -0.326207E-06   0.107886E-06
    70   0.185864E+04  -0.555181E+01   0.559384E-03  -0.555181E+01   0.289392E+00  -0.336184E-06   0.559384E-03  -0.336184E-06   0.107196E-06
    71   0.188372E+04  -0.596966E+01   0.549659E-03  -0.596966E+01   0.301175E+00  -0.359314E-06   0.549659E-03  -0.359314E-06   0.106505E-06
    72   0.190898E+04  -0.640042E+01   0.540171E-03  -0.640042E+01   0.313159E+00  -0.393365E-06   0.540171E-03  -0.393365E-06   0.105816E-06
    73   0.193441E+04  -0.684447E+01   0.530973E-03  -0.684447E+01   0.325312E+00  -0.435018E-06   0.530973E-03  -0.435018E-06   0.105126E-06
    74   0.196005E+04  -0.730071E+01   0.522118E-03  -0.730071E+01   0.337626E+00  -0.480954E-06   0.522118E-03  -0.480954E-06   0.104437E-06
    75   0.198602E+04  -0.776746E+01   0.513659E-03  -0.776746E+01   0.350114E+00  -0.527851E-06   0.513659E-03  -0.527851E-06   0.103749E-06
    76   0.201228E+04  -0.824393E+01   0.505630E-03  -0.824393E+01   0.362778E+00  -0.572173E-06   0.505630E-03  -0.572173E-06   0.103061E-06
    77   0.203887E+04  -0.873013E+01   0.497989E-03  -0.873013E+01   0.375612E+00  -0.609520E-06   0.497989E-03  -0.609520E-06   0.102374E-06
    78   0.206580E+04  -0.922772E+01   0.490675E-03  -0.922772E+01   0.388645E+00  -0.635273E-06   0.490675E-03  -0.635273E-06   0.101688E-06
    79   0.209288E+04  -0.973316E+01   0.483627E-03  -0.973316E+01   0.401823E+00  -0.644816E-06   0.483627E-03  -0.644816E-06   0.101003E-06
    80   0.212019E+04  -0.102481E+02   0.476783E-03  -0.102481E+02   0.415152E+00  -0.633530E-06   0.476783E-03  -0.633530E-06   0.100321E-06
    81   0.214762E+04  -0.107733E+02   0.470091E-03  -0.107733E+02   0.428585E+00  -0.598936E-06   0.470091E-03  -0.598936E-06   0.996405E-07
    82   0.217526E+04  -0.113078E+02   0.463524E-03  -0.113078E+02   0.442142E+00  -0.547109E-06   0.463524E-03  -0.547109E-06   0.989626E-07
    83   0.220305E+04  -0.118512E+02   0.457065E-03  -0.118512E+02   0.455798E+00  -0.486259E-06   0.457065E-03  -0.486259E-06   0.982873E-07
    84   0.223110E+04  -0.124017E+02   0.450694E-03  -0.124017E+02   0.469548E+00  -0.424601E-06   0.450694E-03  -0.424601E-06   0.976149E-07
    85   0.225929E+04  -0.129605E+02   0.444395E-03  -0.129605E+02   0.483367E+00  -0.370344E-06   0.444395E-03  -0.370344E-06   0.969456E-07
    86   0.228771E+04  -0.135264E+02   0.438155E-03  -0.135264E+02   0.497268E+00  -0.329951E-06   0.438155E-03  -0.329951E-06   0.962796E-07
    87   0.231658E+04  -0.140987E+02   0.431984E-03  -0.140987E+02   0.511222E+00  -0.302875E-06   0.431984E-03  -0.302875E-06   0.956170E-07
    88   0.234544E+04  -0.146772E+02   0.425899E-03  -0.146772E+02   0.525247E+00  -0.286821E-06   0.425899E-03  -0.286821E-06   0.949579E-07
