#           k/h    P           
   0.639061E-01   0.926585E+04
   0.651971E-01   0.911300E+04
   0.665142E-01   0.895418E+04
   0.678578E-01   0.879073E+04
   0.692287E-01   0.862337E+04
   0.706272E-01   0.844883E+04
   0.720539E-01   0.826230E+04
   0.735095E-01   0.805999E+04
   0.749945E-01   0.784311E+04
   0.765095E-01   0.761512E+04
   0.780551E-01   0.737905E+04
   0.796319E-01   0.713644E+04
   0.812406E-01   0.688831E+04
   0.828817E-01   0.663628E+04
   0.845561E-01   0.638304E+04
   0.862642E-01   0.613125E+04
   0.880068E-01   0.588362E+04
   0.897847E-01   0.564279E+04
   0.915985E-01   0.541118E+04
   0.934489E-01   0.519126E+04
   0.953367E-01   0.498508E+04
   0.972626E-01   0.479429E+04
   0.992274E-01   0.461986E+04
   0.101232E+00   0.446242E+04
   0.103277E+00   0.432242E+04
   0.105363E+00   0.419923E+04
   0.107492E+00   0.409153E+04
   0.109663E+00   0.399805E+04
   0.111879E+00   0.391661E+04
   0.114139E+00   0.384429E+04
   0.116445E+00   0.377832E+04
   0.118797E+00   0.371540E+04
   0.121197E+00   0.365205E+04
   0.123645E+00   0.358508E+04
   0.126143E+00   0.351168E+04
   0.128691E+00   0.342938E+04
   0.131291E+00   0.333676E+04
   0.133943E+00   0.323336E+04
   0.136649E+00   0.311949E+04
   0.139409E+00   0.299701E+04
   0.142226E+00   0.286819E+04
   0.145099E+00   0.273642E+04
   0.148030E+00   0.260528E+04
   0.151020E+00   0.247841E+04
   0.154071E+00   0.235927E+04
   0.157184E+00   0.225057E+04
   0.160359E+00   0.215426E+04
   0.163598E+00   0.207124E+04
   0.166903E+00   0.200130E+04
   0.170275E+00   0.194320E+04
   0.173715E+00   0.189469E+04
   0.177224E+00   0.185279E+04
   0.180804E+00   0.181403E+04
   0.184457E+00   0.177489E+04
   0.188183E+00   0.173218E+04
   0.191985E+00   0.168360E+04
   0.195863E+00   0.162797E+04
   0.199820E+00   0.156550E+04
   0.203856E+00   0.149779E+04
   0.207974E+00   0.142735E+04
   0.212176E+00   0.135737E+04
   0.216462E+00   0.129095E+04
   0.220835E+00   0.123066E+04
   0.225296E+00   0.117808E+04
   0.229847E+00   0.113356E+04
   0.234490E+00   0.109629E+04
   0.239227E+00   0.106437E+04
   0.244060E+00   0.103528E+04
   0.248990E+00   0.100638E+04
   0.254020E+00   0.975456E+03
   0.259152E+00   0.941235E+03
   0.264387E+00   0.903654E+03
   0.269728E+00   0.863810E+03
   0.275177E+00   0.823574E+03
   0.280736E+00   0.785030E+03
   0.286407E+00   0.749878E+03
   0.292193E+00   0.718991E+03
   0.298096E+00   0.692227E+03
   0.304118E+00   0.668552E+03
   0.310261E+00   0.646411E+03
   0.316529E+00   0.624256E+03
   0.322923E+00   0.601053E+03
   0.329447E+00   0.576585E+03
   0.336102E+00   0.551448E+03
   0.342892E+00   0.526724E+03
   0.349819E+00   0.503494E+03
   0.356885E+00   0.482402E+03
   0.364095E+00   0.463432E+03
   0.371450E+00   0.445997E+03
   0.378954E+00   0.429248E+03
   0.386609E+00   0.412494E+03
   0.394419E+00   0.395485E+03
   0.402387E+00   0.378465E+03
   0.410516E+00   0.361961E+03
   0.418809E+00   0.346450E+03
   0.427269E+00   0.332100E+03
   0.435901E+00   0.318714E+03
   0.444706E+00   0.305971E+03
   0.453690E+00   0.293619E+03
   0.462855E+00   0.281632E+03
   0.472206E+00   0.270017E+03
   0.481745E+00   0.258775E+03
   0.491477E+00   0.247907E+03
   0.501405E+00   0.237414E+03
   0.511534E+00   0.227294E+03
   0.521868E+00   0.217543E+03
   0.532411E+00   0.208158E+03
   0.543166E+00   0.199134E+03
   0.554139E+00   0.190465E+03
   0.565333E+00   0.182145E+03
   0.576753E+00   0.174166E+03
   0.588404E+00   0.166520E+03
   0.600291E+00   0.159199E+03
   0.612418E+00   0.152195E+03
   0.624789E+00   0.145499E+03
   0.637411E+00   0.139097E+03
   0.650288E+00   0.132976E+03
   0.663424E+00   0.127123E+03
   0.676826E+00   0.121526E+03
   0.690499E+00   0.116171E+03
   0.704448E+00   0.111049E+03
   0.718679E+00   0.106148E+03
   0.733197E+00   0.101458E+03
   0.748009E+00   0.969703E+02
   0.763119E+00   0.926748E+02
   0.778536E+00   0.885631E+02
   0.794263E+00   0.846272E+02
   0.810308E+00   0.808590E+02
   0.826677E+00   0.772514E+02
   0.843378E+00   0.737971E+02
