#    L    TT             EE             TE             PP             TP          
   102   0.277167E+04   0.720692E+00  -0.232487E+02   0.394259E+07   0.596600E+04
   103   0.280351E+04   0.734083E+00  -0.238786E+02   0.391588E+07   0.589278E+04
   104   0.283556E+04   0.747368E+00  -0.245070E+02   0.388934E+07   0.582097E+04
   105   0.286775E+04   0.760474E+00  -0.251355E+02   0.386297E+07   0.575051E+04
   106   0.290015E+04   0.773479E+00  -0.257635E+02   0.383678E+07   0.568132E+04
   107   0.293247E+04   0.786234E+00  -0.263895E+02   0.381076E+07   0.561335E+04
   108   0.296516E+04   0.798815E+00  -0.270144E+02   0.378493E+07   0.554653E+04
   109   0.299800E+04   0.811151E+00  -0.276368E+02   0.375927E+07   0.548079E+04
   110   0.303091E+04   0.823242E+00  -0.282554E+02   0.373381E+07   0.541608E+04
   111   0.306397E+04   0.835164E+00  -0.288716E+02   0.370853E+07   0.535233E+04
   112   0.309717E+04   0.846843E+00  -0.294847E+02   0.368344E+07   0.528954E+04
   113   0.313060E+04   0.858280E+00  -0.300934E+02   0.365853E+07   0.522768E+04
   114   0.316411E+04   0.869401E+00  -0.306967E+02   0.363381E+07   0.516678E+04
   115   0.319783E+04   0.880354E+00  -0.312947E+02   0.360929E+07   0.510680E+04
   116   0.323155E+04   0.890917E+00  -0.318867E+02   0.358494E+07   0.504775E+04
   117   0.326556E+04   0.901163E+00  -0.324718E+02   0.356079E+07   0.498963E+04
   118   0.329972E+04   0.911243E+00  -0.330509E+02   0.353682E+07   0.493243E+04
   119   0.333387E+04   0.921007E+00  -0.336217E+02   0.351304E+07   0.487614E+04
   120   0.336816E+04   0.930308E+00  -0.341842E+02   0.348944E+07   0.482075E+04
   121   0.340245E+04   0.939441E+00  -0.347384E+02   0.346603E+07   0.476627E+04
   122   0.343679E+04   0.948112E+00  -0.352835E+02   0.344280E+07   0.471268E+04
   123   0.347121E+04   0.956394E+00  -0.358195E+02   0.341976E+07   0.465998E+04
   124   0.350568E+04   0.964361E+00  -0.363435E+02   0.339691E+07   0.460817E+04
   125   0.354015E+04   0.971940E+00  -0.368577E+02   0.337424E+07   0.455724E+04
   126   0.357467E+04   0.979204E+00  -0.373613E+02   0.335176E+07   0.450718E+04
   127   0.360918E+04   0.986007E+00  -0.378535E+02   0.332946E+07   0.445800E+04
   128   0.364368E+04   0.992496E+00  -0.383337E+02   0.330734E+07   0.440967E+04
   129   0.367823E+04   0.998523E+00  -0.388010E+02   0.328541E+07   0.436220E+04
   130   0.371277E+04   0.100409E+01  -0.392548E+02   0.326367E+07   0.431558E+04
   131   0.374729E+04   0.100934E+01  -0.396965E+02   0.324210E+07   0.426981E+04
   132   0.378186E+04   0.101413E+01  -0.401232E+02   0.322072E+07   0.422487E+04
   133   0.381635E+04   0.101853E+01  -0.405371E+02   0.319952E+07   0.418073E+04
   134   0.385082E+04   0.102254E+01  -0.409337E+02   0.317851E+07   0.413738E+04
   135   0.388529E+04   0.102607E+01  -0.413162E+02   0.315767E+07   0.409480E+04
   136   0.391959E+04   0.102915E+01  -0.416809E+02   0.313700E+07   0.405296E+04
   137   0.395388E+04   0.103182E+01  -0.420299E+02   0.311652E+07   0.401186E+04
   138   0.398810E+04   0.103402E+01  -0.423618E+02   0.309621E+07   0.397147E+04
   139   0.402208E+04   0.103590E+01  -0.426760E+02   0.307607E+07   0.393176E+04
   140   0.405613E+04   0.103723E+01  -0.429732E+02   0.305611E+07   0.389273E+04
   141   0.408996E+04   0.103808E+01  -0.432512E+02   0.303631E+07   0.385435E+04
   142   0.412378E+04   0.103853E+01  -0.435108E+02   0.301669E+07   0.381660E+04
   143   0.415753E+04   0.103857E+01  -0.437520E+02   0.299724E+07   0.377946E+04
   144   0.419106E+04   0.103814E+01  -0.439742E+02   0.297795E+07   0.374291E+04
   145   0.422445E+04   0.103737E+01  -0.441765E+02   0.295883E+07   0.370694E+04
   146   0.425791E+04   0.103604E+01  -0.443591E+02   0.293988E+07   0.367152E+04
   147   0.429100E+04   0.103437E+01  -0.445204E+02   0.292109E+07   0.363664E+04
   148   0.432396E+04   0.103222E+01  -0.446621E+02   0.290246E+07   0.360227E+04
   149   0.435685E+04   0.102965E+01  -0.447826E+02   0.288400E+07   0.356839E+04
   150   0.438945E+04   0.102675E+01  -0.448798E+02   0.286569E+07   0.353499E+04
   151   0.442191E+04   0.102342E+01  -0.449567E+02   0.284755E+07   0.350205E+04
   152   0.445409E+04   0.101960E+01  -0.450116E+02   0.282956E+07   0.346956E+04
   153   0.448614E+04   0.101543E+01  -0.450425E+02   0.281173E+07   0.343749E+04
   154   0.451797E+04   0.101091E+01  -0.450515E+02   0.279405E+07   0.340586E+04
   155   0.454960E+04   0.100603E+01  -0.450378E+02   0.277653E+07   0.337463E+04
   156   0.458088E+04   0.100079E+01  -0.450014E+02   0.275917E+07   0.334381E+04
   157   0.461210E+04   0.995184E+00  -0.449408E+02   0.274195E+07   0.331339E+04
   158   0.464304E+04   0.989287E+00  -0.448567E+02   0.272489E+07   0.328335E+04
   159   0.467370E+04   0.982944E+00  -0.447490E+02   0.270797E+07   0.325368E+04
   160   0.470416E+04   0.976300E+00  -0.446163E+02   0.269121E+07   0.322437E+04
