#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    91   0.243376E+04  -0.164500E+02   0.409024E-03  -0.164500E+02   0.567577E+00  -0.287008E-06   0.409024E-03  -0.287008E-06   0.931307E-07
    92   0.246357E+04  -0.170513E+02   0.403430E-03  -0.170513E+02   0.581718E+00  -0.294622E-06   0.403430E-03  -0.294622E-06   0.924874E-07
    93   0.249364E+04  -0.176575E+02   0.397965E-03  -0.176575E+02   0.595862E+00  -0.305751E-06   0.397965E-03  -0.305751E-06   0.918480E-07
    94   0.252375E+04  -0.182671E+02   0.392625E-03  -0.182671E+02   0.609973E+00  -0.320103E-06   0.392625E-03  -0.320103E-06   0.912125E-07
    95   0.255413E+04  -0.188812E+02   0.387406E-03  -0.188812E+02   0.624053E+00  -0.337387E-06   0.387406E-03  -0.337387E-06   0.905809E-07
    96   0.258449E+04  -0.194989E+02   0.382305E-03  -0.194989E+02   0.638088E+00  -0.357310E-06   0.382305E-03  -0.357310E-06   0.899532E-07
    97   0.261526E+04  -0.201196E+02   0.377317E-03  -0.201196E+02   0.652066E+00  -0.379581E-06   0.377317E-03  -0.379581E-06   0.893295E-07
    98   0.264623E+04  -0.207413E+02   0.372438E-03  -0.207413E+02   0.665980E+00  -0.403909E-06   0.372438E-03  -0.403909E-06   0.887099E-07
    99   0.267726E+04  -0.213670E+02   0.367666E-03  -0.213670E+02   0.679795E+00  -0.430001E-06   0.367666E-03  -0.430001E-06   0.880943E-07
   100   0.270856E+04  -0.219922E+02   0.362994E-03  -0.219922E+02   0.693512E+00  -0.457566E-06   0.362994E-03  -0.457566E-06   0.874828E-07
   101   0.273999E+04  -0.226202E+02   0.358420E-03  -0.226202E+02   0.707194E+00  -0.486311E-06   0.358420E-03  -0.486311E-06   0.868755E-07
   102   0.277193E+04  -0.232487E+02   0.353940E-03  -0.232487E+02   0.720692E+00  -0.515946E-06   0.353940E-03  -0.515946E-06   0.862723E-07
   103   0.280378E+04  -0.238786E+02   0.349550E-03  -0.238786E+02   0.734083E+00  -0.546179E-06   0.349550E-03  -0.546179E-06   0.856733E-07
   104   0.283583E+04  -0.245070E+02   0.345245E-03  -0.245070E+02   0.747368E+00  -0.576717E-06   0.345245E-03  -0.576717E-06   0.850786E-07
   105   0.286803E+04  -0.251356E+02   0.341022E-03  -0.251356E+02   0.760475E+00  -0.607269E-06   0.341022E-03  -0.607269E-06   0.844881E-07
   106   0.290044E+04  -0.257635E+02   0.336877E-03  -0.257635E+02   0.773479E+00  -0.637544E-06   0.336877E-03  -0.637544E-06   0.839019E-07
   107   0.293277E+04  -0.263895E+02   0.332806E-03  -0.263895E+02   0.786234E+00  -0.667249E-06   0.332806E-03  -0.667249E-06   0.833201E-07
   108   0.296547E+04  -0.270145E+02   0.328804E-03  -0.270145E+02   0.798815E+00  -0.696093E-06   0.328804E-03  -0.696093E-06   0.827427E-07
   109   0.299831E+04  -0.276369E+02   0.324869E-03  -0.276369E+02   0.811151E+00  -0.723784E-06   0.324869E-03  -0.723784E-06   0.821697E-07
   110   0.303123E+04  -0.282554E+02   0.320996E-03  -0.282554E+02   0.823242E+00  -0.750030E-06   0.320996E-03  -0.750030E-06   0.816012E-07
   111   0.306430E+04  -0.288717E+02   0.317181E-03  -0.288717E+02   0.835164E+00  -0.774589E-06   0.317181E-03  -0.774589E-06   0.810372E-07
   112   0.309751E+04  -0.294848E+02   0.313425E-03  -0.294848E+02   0.846843E+00  -0.797414E-06   0.313425E-03  -0.797414E-06   0.804776E-07
   113   0.313095E+04  -0.300934E+02   0.309725E-03  -0.300934E+02   0.858281E+00  -0.818508E-06   0.309725E-03  -0.818508E-06   0.799225E-07
   114   0.316446E+04  -0.306968E+02   0.306083E-03  -0.306968E+02   0.869401E+00  -0.837875E-06   0.306083E-03  -0.837875E-06   0.793718E-07
   115   0.319819E+04  -0.312948E+02   0.302497E-03  -0.312948E+02   0.880354E+00  -0.855515E-06   0.302497E-03  -0.855515E-06   0.788256E-07
   116   0.323192E+04  -0.318868E+02   0.298968E-03  -0.318868E+02   0.890917E+00  -0.871434E-06   0.298968E-03  -0.871434E-06   0.782838E-07
   117   0.326594E+04  -0.324719E+02   0.295494E-03  -0.324719E+02   0.901163E+00  -0.885633E-06   0.295494E-03  -0.885633E-06   0.777465E-07
   118   0.330011E+04  -0.330510E+02   0.292076E-03  -0.330510E+02   0.911243E+00  -0.898114E-06   0.292076E-03  -0.898114E-06   0.772135E-07
   119   0.333426E+04  -0.336219E+02   0.288713E-03  -0.336219E+02   0.921007E+00  -0.908882E-06   0.288713E-03  -0.908882E-06   0.766849E-07
   120   0.336856E+04  -0.341843E+02   0.285405E-03  -0.341843E+02   0.930308E+00  -0.917938E-06   0.285405E-03  -0.917938E-06   0.761607E-07
   121   0.340285E+04  -0.347385E+02   0.282152E-03  -0.347385E+02   0.939442E+00  -0.925286E-06   0.282152E-03  -0.925286E-06   0.756408E-07
   122   0.343721E+04  -0.352836E+02   0.278952E-03  -0.352836E+02   0.948112E+00  -0.930928E-06   0.278952E-03  -0.930928E-06   0.751253E-07
   123   0.347163E+04  -0.358197E+02   0.275806E-03  -0.358197E+02   0.956394E+00  -0.934867E-06   0.275806E-03  -0.934867E-06   0.746141E-07
   124   0.350611E+04  -0.363437E+02   0.272714E-03  -0.363437E+02   0.964361E+00  -0.937106E-06   0.272714E-03  -0.937106E-06   0.741072E-07
   125   0.354058E+04  -0.368579E+02   0.269674E-03  -0.368579E+02   0.971940E+00  -0.937647E-06   0.269674E-03  -0.937647E-06   0.736046E-07
   126   0.357511E+04  -0.373614E+02   0.266687E-03  -0.373614E+02   0.979205E+00  -0.936494E-06   0.266687E-03  -0.936494E-06   0.731064E-07
   127   0.360962E+04  -0.378537E+02   0.263752E-03  -0.378537E+02   0.986007E+00  -0.933649E-06   0.263752E-03  -0.933649E-06   0.726124E-07
   128   0.364413E+04  -0.383339E+02   0.260869E-03  -0.383339E+02   0.992496E+00  -0.929114E-06   0.260869E-03  -0.929114E-06   0.721226E-07
   129   0.367869E+04  -0.388012E+02   0.258037E-03  -0.388012E+02   0.998523E+00  -0.922894E-06   0.258037E-03  -0.922894E-06   0.716371E-07
   130   0.371323E+04  -0.392550E+02   0.255256E-03  -0.392550E+02   0.100409E+01  -0.914990E-06   0.255256E-03  -0.914990E-06   0.711558E-07
   131   0.374775E+04  -0.396967E+02   0.252526E-03  -0.396967E+02   0.100934E+01  -0.905432E-06   0.252526E-03  -0.905432E-06   0.706788E-07
   132   0.378233E+04  -0.401234E+02   0.249846E-03  -0.401234E+02   0.101413E+01  -0.894358E-06   0.249846E-03  -0.894358E-06   0.702059E-07
   133   0.381683E+04  -0.405372E+02   0.247214E-03  -0.405372E+02   0.101853E+01  -0.881931E-06   0.247214E-03  -0.881931E-06   0.697372E-07
   134   0.385131E+04  -0.409339E+02   0.244629E-03  -0.409339E+02   0.102254E+01  -0.868317E-06   0.244629E-03  -0.868317E-06   0.692727E-07
   135   0.388577E+04  -0.413164E+02   0.242090E-03  -0.413164E+02   0.102608E+01  -0.853678E-06   0.242090E-03  -0.853678E-06   0.688122E-07
   136   0.392008E+04  -0.416810E+02   0.239596E-03  -0.416810E+02   0.102915E+01  -0.838180E-06   0.239596E-03  -0.838180E-06   0.683557E-07
   137   0.395438E+04  -0.420300E+02   0.237146E-03  -0.420300E+02   0.103182E+01  -0.821986E-06   0.237146E-03  -0.821986E-06   0.679033E-07
   138   0.398859E+04  -0.423620E+02   0.234738E-03  -0.423620E+02   0.103402E+01  -0.805261E-06   0.234738E-03  -0.805261E-06   0.674549E-07
   139   0.402258E+04  -0.426761E+02   0.232372E-03  -0.426761E+02   0.103590E+01  -0.788169E-06   0.232372E-03  -0.788169E-06   0.670105E-07
   140   0.405664E+04  -0.429733E+02   0.230046E-03  -0.429733E+02   0.103723E+01  -0.770873E-06   0.230046E-03  -0.770873E-06   0.665700E-07
   141   0.409047E+04  -0.432513E+02   0.227758E-03  -0.432513E+02   0.103808E+01  -0.753539E-06   0.227758E-03  -0.753539E-06   0.661334E-07
   142   0.412429E+04  -0.435109E+02   0.225509E-03  -0.435109E+02   0.103853E+01  -0.736331E-06   0.225509E-03  -0.736331E-06   0.657007E-07
   143   0.415805E+04  -0.437521E+02   0.223296E-03  -0.437521E+02   0.103858E+01  -0.719412E-06   0.223296E-03  -0.719412E-06   0.652718E-07
   144   0.419158E+04  -0.439742E+02   0.221119E-03  -0.439742E+02   0.103814E+01  -0.702947E-06   0.221119E-03  -0.702947E-06   0.648467E-07
   145   0.422496E+04  -0.441766E+02   0.218976E-03  -0.441766E+02   0.103737E+01  -0.687100E-06   0.218976E-03  -0.687100E-06   0.644254E-07
   146   0.425843E+04  -0.443591E+02   0.216866E-03  -0.443591E+02   0.103604E+01  -0.672035E-06   0.216866E-03  -0.672035E-06   0.640078E-07
   147   0.429153E+04  -0.445205E+02   0.214788E-03  -0.445205E+02   0.103437E+01  -0.657917E-06   0.214788E-03  -0.657917E-06   0.635939E-07
   148   0.432448E+04  -0.446622E+02   0.212741E-03  -0.446622E+02   0.103222E+01  -0.644909E-06   0.212741E-03  -0.644909E-06   0.631837E-07
   149   0.435737E+04  -0.447827E+02   0.210724E-03  -0.447827E+02   0.102965E+01  -0.633176E-06   0.210724E-03  -0.633176E-06   0.627772E-07
   150   0.438998E+04  -0.448799E+02   0.208735E-03  -0.448799E+02   0.102675E+01  -0.622882E-06   0.208735E-03  -0.622882E-06   0.623743E-07
   151   0.442244E+04  -0.449567E+02   0.206773E-03  -0.449567E+02   0.102342E+01  -0.614147E-06   0.206773E-03  -0.614147E-06   0.619749E-07
   152   0.445462E+04  -0.450117E+02   0.204839E-03  -0.450117E+02   0.101960E+01  -0.606914E-06   0.204839E-03  -0.606914E-06   0.615791E-07
   153   0.448667E+04  -0.450426E+02   0.202930E-03  -0.450426E+02   0.101543E+01  -0.601081E-06   0.202930E-03  -0.601081E-06   0.611869E-07
   154   0.451851E+04  -0.450516E+02   0.201046E-03  -0.450516E+02   0.101091E+01  -0.596549E-06   0.201046E-03  -0.596549E-06   0.607981E-07
   155   0.455014E+04  -0.450379E+02   0.199188E-03  -0.450379E+02   0.100603E+01  -0.593215E-06   0.199188E-03  -0.593215E-06   0.604128E-07
   156   0.458142E+04  -0.450015E+02   0.197353E-03  -0.450015E+02   0.100079E+01  -0.590977E-06   0.197353E-03  -0.590977E-06   0.600310E-07
   157   0.461264E+04  -0.449409E+02   0.195542E-03  -0.449409E+02   0.995185E+00  -0.589736E-06   0.195542E-03  -0.589736E-06   0.596525E-07
   158   0.464358E+04  -0.448568E+02   0.193754E-03  -0.448568E+02   0.989288E+00  -0.589390E-06   0.193754E-03  -0.589390E-06   0.592775E-07
   159   0.467424E+04  -0.447492E+02   0.191988E-03  -0.447492E+02   0.982945E+00  -0.589838E-06   0.191988E-03  -0.589838E-06   0.589059E-07
   160   0.470470E+04  -0.446165E+02   0.190244E-03  -0.446165E+02   0.976302E+00  -0.590977E-06   0.190244E-03  -0.590977E-06   0.585376E-07
   161   0.473496E+04  -0.444602E+02   0.188521E-03  -0.444602E+02   0.969428E+00  -0.592709E-06   0.188521E-03  -0.592709E-06   0.581726E-07
   162   0.476494E+04  -0.442803E+02   0.186818E-03  -0.442803E+02   0.962173E+00  -0.594930E-06   0.186818E-03  -0.594930E-06   0.578109E-07
   163   0.479480E+04  -0.440753E+02   0.185135E-03  -0.440753E+02   0.954607E+00  -0.597540E-06   0.185135E-03  -0.597540E-06   0.574524E-07
   164   0.482424E+04  -0.438467E+02   0.183472E-03  -0.438467E+02   0.946801E+00  -0.600437E-06   0.183472E-03  -0.600437E-06   0.570972E-07
   165   0.485356E+04  -0.435921E+02   0.181827E-03  -0.435921E+02   0.938676E+00  -0.603521E-06   0.181827E-03  -0.603521E-06   0.567453E-07
   166   0.488260E+04  -0.433130E+02   0.180199E-03  -0.433130E+02   0.930378E+00  -0.606690E-06   0.180199E-03  -0.606690E-06   0.563965E-07
   167   0.491145E+04  -0.430102E+02   0.178589E-03  -0.430102E+02   0.921681E+00  -0.609844E-06   0.178589E-03  -0.609844E-06   0.560508E-07
   168   0.493988E+04  -0.426814E+02   0.176996E-03  -0.426814E+02   0.912951E+00  -0.612880E-06   0.176996E-03  -0.612880E-06   0.557083E-07
   169   0.496805E+04  -0.423265E+02   0.175419E-03  -0.423265E+02   0.903889E+00  -0.615698E-06   0.175419E-03  -0.615698E-06   0.553689E-07
   170   0.499595E+04  -0.419471E+02   0.173857E-03  -0.419471E+02   0.894714E+00  -0.618196E-06   0.173857E-03  -0.618196E-06   0.550325E-07
   171   0.502343E+04  -0.415408E+02   0.172310E-03  -0.415408E+02   0.885422E+00  -0.620273E-06   0.172310E-03  -0.620273E-06   0.546993E-07
   172   0.505058E+04  -0.411092E+02   0.170777E-03  -0.411092E+02   0.875936E+00  -0.621829E-06   0.170777E-03  -0.621829E-06   0.543690E-07
   173   0.507731E+04  -0.406521E+02   0.169257E-03  -0.406521E+02   0.866252E+00  -0.622761E-06   0.169257E-03  -0.622761E-06   0.540418E-07
   174   0.510378E+04  -0.401697E+02   0.167751E-03  -0.401697E+02   0.856662E+00  -0.622969E-06   0.167751E-03  -0.622969E-06   0.537175E-07
   175   0.512992E+04  -0.396610E+02   0.166256E-03  -0.396610E+02   0.846868E+00  -0.622352E-06   0.166256E-03  -0.622352E-06   0.533961E-07
   176   0.515557E+04  -0.391260E+02   0.164774E-03  -0.391260E+02   0.837087E+00  -0.620830E-06   0.164774E-03  -0.620830E-06   0.530777E-07
   177   0.518089E+04  -0.385663E+02   0.163303E-03  -0.385663E+02   0.827241E+00  -0.618416E-06   0.163303E-03  -0.618416E-06   0.527622E-07
   178   0.520580E+04  -0.379801E+02   0.161844E-03  -0.379801E+02   0.817547E+00  -0.615143E-06   0.161844E-03  -0.615143E-06   0.524495E-07
